member_id,phrase,source_type,sort_order,source_url,verification_status
mem_5f8c42fffa,Brain,declared_area_title,0,https://profiles.ucalgary.ca/catherine-lebel,source_declared
mem_5f8c42fffa,Brain Development,declared_area_title,1,https://profiles.ucalgary.ca/catherine-lebel,source_declared
mem_5f8c42fffa,Neurodevelopment,declared_area_title,2,https://profiles.ucalgary.ca/catherine-lebel,source_declared
mem_5f8c42fffa,Neurodevelopmental disorders,declared_area_title,3,https://profiles.ucalgary.ca/catherine-lebel,source_declared
mem_5f8c42fffa,Neuroimaging,declared_area_title,4,https://profiles.ucalgary.ca/catherine-lebel,source_declared
mem_5fb66a15c5,anesthesia,declared_area_title,0,https://profiles.ucalgary.ca/melinda-jane-davis,source_declared
mem_5fb66a15c5,neuroradiology,declared_area_title,1,https://profiles.ucalgary.ca/melinda-jane-davis,source_declared
mem_5fb66a15c5,Neurosurgery,declared_area_title,2,https://profiles.ucalgary.ca/melinda-jane-davis,source_declared
mem_601dd6a6ac,Brain Development,declared_area_title,0,https://profiles.ucalgary.ca/bin-hu,source_declared
mem_601dd6a6ac,Brain Stimulation,declared_area_title,1,https://profiles.ucalgary.ca/bin-hu,source_declared
mem_60ca7c3bc6,Dementia,declared_area_title,0,https://profiles.ucalgary.ca/roger-thompson,source_declared
mem_60ca7c3bc6,Stroke,declared_area_title,1,https://profiles.ucalgary.ca/roger-thompson,source_declared
mem_61578b7504,Cognitive Development,declared_area_title,0,https://profiles.ucalgary.ca/susan-annetta-graham,source_declared
mem_61578b7504,Speech/Language Development,declared_area_title,1,https://profiles.ucalgary.ca/susan-annetta-graham,source_declared
mem_61578b7504,Summary,declared_area_title,2,https://profiles.ucalgary.ca/susan-annetta-graham,source_declared
mem_622613bf11,Brain,declared_area_title,0,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_622613bf11,Cognitive Development,declared_area_title,1,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_622613bf11,Magnetic Resonance Imaging,declared_area_title,2,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_622613bf11,Neurodevelopment,declared_area_title,3,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_622613bf11,Neurodevelopmental disorders,declared_area_title,4,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_622613bf11,Neuroimaging,declared_area_title,5,https://profiles.ucalgary.ca/signe-bray,source_declared
mem_65229f6177,"Child Mental Health, Parenting, and Parent-Child Relationships",declared_area_title,0,https://profiles.ucalgary.ca/sheri-madigan,source_declared
mem_65229f6177,Child Maltreatment and Intergenerational Effects,declared_area_title,1,https://profiles.ucalgary.ca/sheri-madigan,source_declared
mem_65229f6177,"Digital Media, Screen Use, and Technoference",declared_area_title,2,https://profiles.ucalgary.ca/sheri-madigan,source_declared
mem_65229f6177,Community Partnerships and Digital Health Solutions,declared_area_title,3,https://profiles.ucalgary.ca/sheri-madigan,source_declared
mem_65229f6177,"Research program, contributions, outreach, and team",declared_area_title,4,https://profiles.ucalgary.ca/sheri-madigan,source_declared
mem_67336e1dbb,Brain Injury,declared_area_title,0,https://profiles.ucalgary.ca/alex-lohman,source_declared
mem_67336e1dbb,Inflammation,declared_area_title,1,https://profiles.ucalgary.ca/alex-lohman,source_declared
mem_67336e1dbb,Molecular Mechanisms,declared_area_title,2,https://profiles.ucalgary.ca/alex-lohman,source_declared
mem_67336e1dbb,Stroke,declared_area_title,3,https://profiles.ucalgary.ca/alex-lohman,source_declared
mem_67336e1dbb,Tissue Regeneration,declared_area_title,4,https://profiles.ucalgary.ca/alex-lohman,source_declared
mem_6734c9213c,"Clinical Care, Neonatology, Patient and Family Centered Care, Quality Improvement, Vision",declared_area_title,0,https://profiles.ucalgary.ca/stephanie-dotchin,source_declared
mem_684e36a1b2,Spinal Cord / Nerve Injury & Pain,declared_area_title,0,https://profiles.ucalgary.ca/steven-casha,source_declared
mem_6a59c524fe,Adaptive sensorimotor system for walking,declared_area_list,0,https://profiles.ucalgary.ca/william-alexander-fletcher,source_declared
mem_6a59c524fe,Vestibular function,declared_area_list,1,https://profiles.ucalgary.ca/william-alexander-fletcher,source_declared
mem_6a59c524fe,Oculomotor function,declared_area_list,2,https://profiles.ucalgary.ca/william-alexander-fletcher,source_declared
