member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_12cfcd78b8,Chantel Debert,https://profiles.ucalgary.ca/chantel-debert,mesh_concept,Therapeutics,therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Treatment
mem_12cfcd78b8,Chantel Debert,https://profiles.ucalgary.ca/chantel-debert,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,Brain Injury || Post-concussion symptoms
mem_12cfcd78b8,Chantel Debert,https://profiles.ucalgary.ca/chantel-debert,hbi_umbrella,Pharmacology and Therapeutics,pharmacology and therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Treatment
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,mesh_concept,Dementia,dementia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Dementia & Cognitive Disorders
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,mesh_concept,Epilepsy,epilepsy,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Epilepsy
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,mesh_concept,Learning,learning,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Learning and Memory
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,mesh_concept,Memory,memory,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Learning and Memory
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,hbi_umbrella,Cognitive and Behavioural Neuroscience,cognitive and behavioural neuroscience,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Learning and Memory
mem_14c5161155,Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,Dementia & Cognitive Disorders || Epilepsy
mem_1715d89fe0,Mohammed Almekhlafi,https://profiles.ucalgary.ca/mohammed-almekhlafi,mesh_concept,Stroke,stroke,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Stroke
mem_1715d89fe0,Mohammed Almekhlafi,https://profiles.ucalgary.ca/mohammed-almekhlafi,hbi_umbrella,Cardiovascular Health,cardiovascular health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Stroke
