member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_90269b0602,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=5kFjd7oAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/keith-alexander-sharkey,source_declared,20
mem_90269b0602,research_profile,ORCID,ORCID Profile,0000-0001-9560-1711,https://orcid.org/0000-0001-9560-1711,Scholarly identifier,https://profiles.ucalgary.ca/keith-alexander-sharkey,source_declared,30
mem_90269b0602,research_ecosystem,Research Lab,Lab website,,https://cumming.ucalgary.ca/labs/sharkey,Research lab,https://profiles.ucalgary.ca/keith-alexander-sharkey,source_declared,100
mem_902f442140,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=morris+scantlebury&sort=date,Publication index,https://profiles.ucalgary.ca/morris-scantlebury,source_declared,60
mem_902f442140,research_ecosystem,Website,Website,,https://www.scantleburylab.com/,Associated website,https://profiles.ucalgary.ca/morris-scantlebury,source_declared,100
mem_90ed7fe13a,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?hl=en&user=t1KUy6oAAAAJ&view_op=list_works&gmla=AJsN-F6B8mwk9blMsRKT-EGphh7_p90x7xVZojQPxYftUYIrMR3ovvAOcNqeoWR5b6hgf6dHwbnoW_komYz76IXvrMhqy_2JHMt6HCV7HYxsentjbnnXiY8,Scholarly profile,https://profiles.ucalgary.ca/philip-barber,source_declared,20
mem_92099adba8,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=Zfdn9FkAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/javier-orlandi,source_declared,20
mem_92099adba8,research_profile,ORCID,ORCID Profile,0000-0001-5683-1717,https://orcid.org/0000-0001-5683-1717,Scholarly identifier,https://profiles.ucalgary.ca/javier-orlandi,source_declared,30
mem_92c2e98ac3,research_ecosystem,Research Lab,Poon Laboratory Website,,https://ccpoonlab.com/,Research lab,https://profiles.ucalgary.ca/candice-poon,source_declared,100
mem_92df5b400e,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=ShWuQiQAAAAJ&hl,Scholarly profile,https://profiles.ucalgary.ca/guillermo-delgado-garcia,source_declared,20
mem_92df5b400e,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Guillermo-Delgado-Garcia,Scholarly profile,https://profiles.ucalgary.ca/guillermo-delgado-garcia,source_declared,40
mem_92fd45a247,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=AMd_qwwAAAAJ,Scholarly profile,https://profiles.ucalgary.ca/colin-dalton,source_declared,20
mem_92fd45a247,research_profile,ORCID,ORCID Profile,0000-0001-7855-2727,https://orcid.org/0000-0001-7855-2727,Scholarly identifier,https://profiles.ucalgary.ca/colin-dalton,source_declared,30
mem_9351de2a6f,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=52N7y9MAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/daniel-kopala-sibley,source_declared,20
mem_9351de2a6f,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Daniel_Kopala-Sibley,Scholarly profile,https://profiles.ucalgary.ca/daniel-kopala-sibley,source_declared,40
mem_935d12576d,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=samuel%20weiss,Publication index,https://profiles.ucalgary.ca/samuel-weiss,source_declared,60
mem_94fbe54aaf,research_ecosystem,Research Lab,Lab site,,https://www.faiz-lab.com,Research lab,https://profiles.ucalgary.ca/maryam-faiz,source_declared,100
mem_953f193ead,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed?term=Syed%20NI%5BAuthor%5D%20AND%20Calgary%5Bad%5D&cmd=DetailsSearch,Publication index,https://profiles.ucalgary.ca/naweed-imam-syed,source_declared,60
mem_95cc419952,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=VcuXvl0AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/deinera-exner-cortens,source_declared,20
mem_95cc419952,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=VcuXvl0AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/deinera-exner-cortens,source_declared,20
mem_980064fac2,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Stefanie%20Hassel&sort=date,Publication index,https://profiles.ucalgary.ca/stefanie-hassel,source_declared,60
mem_98307ce526,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=3zuoMCAAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/gabrielle-wilcox,source_declared,20
mem_98307ce526,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Gabrielle_Wilcox,Scholarly profile,https://profiles.ucalgary.ca/gabrielle-wilcox,source_declared,40
mem_98307ce526,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Gabrielle-Wilcox-2,Scholarly profile,https://profiles.ucalgary.ca/gabrielle-wilcox,source_declared,40
mem_9afdacf59c,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?hl=en&user=LLAet2EAAAAJ&view_op=list_works&sortby=pubdate,Scholarly profile,https://profiles.ucalgary.ca/scott-burton-patten,source_declared,20
mem_9b324ec216,research_ecosystem,Website,cannabis research website,,https://cannabisharmreduction.ca,Associated website,https://profiles.ucalgary.ca/rebecca-saah,source_declared,100
mem_9b324ec216,research_ecosystem,Website,harm reduction research website,,https://www.see-beyond.ca,Associated website,https://profiles.ucalgary.ca/rebecca-saah,source_declared,100
mem_9c853bf265,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=Leijser+L,Publication index,https://profiles.ucalgary.ca/lara-leijser,source_declared,60
mem_9d290c25df,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Esser+MJ&sort=date,Publication index,https://profiles.ucalgary.ca/michael-esser,source_declared,60
mem_9d7393c642,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Kromm+J&sort=date,Publication index,https://profiles.ucalgary.ca/julie-kromm,source_declared,60
mem_9e9c87242a,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=0n70JkUAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/bijoy-menon,source_declared,20
mem_9e9c87242a,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Bijoy-Menon,Scholarly profile,https://profiles.ucalgary.ca/bijoy-menon,source_declared,40
mem_9f51021d60,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?hl=en&user=if89VXEAAAAJ&view_op=list_works&sortby=pubdate,Scholarly profile,https://profiles.ucalgary.ca/adriana-zardini-buzatto,source_declared,20
mem_9f51021d60,research_ecosystem,Research Group,Research group,,https://www.buzattoresearchgroup.com/,Research group,https://profiles.ucalgary.ca/adriana-zardini-buzatto,source_declared,100
mem_a04b5207a5,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=r2e-UboAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/emma-towlson,source_declared,20
mem_a04b5207a5,research_ecosystem,Website,Website,,https://emmatowlson.github.io/,Associated website,https://profiles.ucalgary.ca/emma-towlson,source_declared,100
mem_a0bb31cffa,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=09eAIv8AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/frank-stahnisch,source_declared,20
mem_a0bb31cffa,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Frank-Stahnisch,Scholarly profile,https://profiles.ucalgary.ca/frank-stahnisch,source_declared,40
mem_a0bb31cffa,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=stahnisch&sort=date,Publication index,https://profiles.ucalgary.ca/frank-stahnisch,source_declared,60
mem_a0bb31cffa,research_profile,Academia.edu,Academia.edu Profile,,https://ucalgary.academia.edu/FrankStahnisch,Scholarly profile,https://profiles.ucalgary.ca/frank-stahnisch,source_declared,70
mem_a0bb31cffa,research_ecosystem,Research Lab,C-STEMS-Lab,,https://www.ucalgary.ca/labs/centre-science-technology-environment-medicine-studies,Research lab,https://profiles.ucalgary.ca/frank-stahnisch,source_declared,100
mem_a1ecc4eb97,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=5kyzzj0AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/micheil-innes,source_declared,20
mem_a27c0b453b,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=pqyB93IAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/ning-cheng,source_declared,20
mem_a27c0b453b,research_ecosystem,Research Lab,Lab Website,,https://vet.ucalgary.ca/labs/cheng/home,Research lab,https://profiles.ucalgary.ca/ning-cheng,source_declared,100
mem_a2b493336b,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=Yeates+KO%20,Publication index,https://profiles.ucalgary.ca/keith-yeates,source_declared,60
mem_a2b493336b,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=yeates+ko,Publication index,https://profiles.ucalgary.ca/keith-yeates,source_declared,60
mem_a3c1370499,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=Schneider%2C+Kathryn,Publication index,https://profiles.ucalgary.ca/kathryn-schneider,source_declared,60
mem_a4dc36ebf7,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=trang+t%5Bau%5D+canada,Publication index,https://profiles.ucalgary.ca/tuan-trang,source_declared,60
